Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,GP,Track Length,Mean Speed
0 days 00:31:18.464000,ALB,23,0 days 00:01:28.343000,8,2,,,0 days 00:00:29.498000,0 days 00:00:33.774000,0 days 00:00:25.071000,0 days 00:30:19.619000,0 days 00:30:53.393000,0 days 00:31:18.464000,221,190,286,340,TRUE,SOFT,2,TRUE,Williams,0 days 00:29:50.121000,16:48.1,1,Miami,5.41,220.4588932
0 days 00:52:24.387000,TSU,22,0 days 00:01:28.167000,14,4,,,0 days 00:00:29.299000,0 days 00:00:33.775000,0 days 00:00:25.093000,0 days 00:51:25.519000,0 days 00:51:59.294000,0 days 00:52:24.387000,223,191,282,336,TRUE,SOFT,2,TRUE,RB,0 days 00:50:56.220000,37:54.2,1,Miami,5.41,220.8989758
0 days 00:32:29.546000,BOT,77,0 days 00:01:28.463000,5,2,,,0 days 00:00:29.470000,0 days 00:00:33.888000,0 days 00:00:25.105000,0 days 00:31:30.553000,0 days 00:32:04.441000,0 days 00:32:29.546000,222,193,285,345,TRUE,SOFT,2,TRUE,Kick Sauber,0 days 00:31:01.083000,17:59.1,1,Miami,5.41,220.1598408
0 days 01:12:47.529000,VER,1,0 days 00:01:14.746000,17,6,,,0 days 00:00:23.408000,0 days 00:00:25.922000,0 days 00:00:25.416000,0 days 01:11:56.191000,0 days 01:12:22.113000,0 days 01:12:47.529000,233,261,285,296,TRUE,SOFT,2,TRUE,Red Bull Racing,0 days 01:11:32.783000,59:12.5,1,Emilia Romagna,4.909,236.4327188
0 days 01:11:31.971000,HUL,27,0 days 00:01:15.980000,20,7,,,0 days 00:00:24.095000,0 days 00:00:26.320000,0 days 00:00:25.565000,0 days 01:10:40.086000,0 days 01:11:06.406000,0 days 01:11:31.971000,230,260,286,298,TRUE,SOFT,2,TRUE,Haas F1 Team,0 days 01:10:15.991000,57:55.7,1,Emilia Romagna,4.909,232.5927876
0 days 01:12:21.353000,RUS,63,0 days 00:01:15.234000,17,7,,,0 days 00:00:23.632000,0 days 00:00:26.111000,0 days 00:00:25.491000,0 days 01:11:29.751000,0 days 01:11:55.862000,0 days 01:12:21.353000,234,260,284,294,TRUE,SOFT,2,TRUE,Mercedes,0 days 01:11:06.119000,58:45.8,1,Emilia Romagna,4.909,234.8991148
0 days 01:13:10.629000,PIA,81,0 days 00:01:14.820000,14,6,,,0 days 00:00:23.608000,0 days 00:00:25.921000,0 days 00:00:25.291000,0 days 01:12:19.417000,0 days 01:12:45.338000,0 days 01:13:10.629000,236,263,287,296,TRUE,SOFT,2,TRUE,McLaren,0 days 01:11:55.809000,59:35.5,1,Emilia Romagna,4.909,236.1988773
0 days 01:12:06.628000,LEC,16,0 days 00:01:14.970000,20,6,,,0 days 00:00:23.741000,0 days 00:00:25.935000,0 days 00:00:25.294000,0 days 01:11:15.399000,0 days 01:11:41.334000,0 days 01:12:06.628000,228,260,286,294,TRUE,SOFT,2,TRUE,Ferrari,0 days 01:10:51.658000,58:31.4,1,Emilia Romagna,4.909,235.7262905
0 days 00:51:52.658000,STR,18,0 days 00:01:15.992000,14,5,,,0 days 00:00:23.952000,0 days 00:00:26.200000,0 days 00:00:25.840000,0 days 00:51:00.618000,0 days 00:51:26.818000,0 days 00:51:52.658000,228,263,284,293,TRUE,SOFT,2,TRUE,Aston Martin,0 days 00:50:36.666000,38:16.4,1,Emilia Romagna,4.909,232.5560585
0 days 00:50:57.614000,OCO,31,0 days 00:01:15.906000,14,5,,,0 days 00:00:24.088000,0 days 00:00:26.211000,0 days 00:00:25.607000,0 days 00:50:05.796000,0 days 00:50:32.007000,0 days 00:50:57.614000,227,258,283,292,TRUE,SOFT,2,TRUE,Alpine,0 days 00:49:41.708000,37:21.4,1,Emilia Romagna,4.909,232.81954
0 days 00:48:35.565000,ALB,23,0 days 00:01:16.200000,11,4,,,0 days 00:00:23.970000,0 days 00:00:26.489000,0 days 00:00:25.741000,0 days 00:47:43.335000,0 days 00:48:09.824000,0 days 00:48:35.565000,232,260,285,296,TRUE,SOFT,2,TRUE,Williams,0 days 00:47:19.365000,34:59.1,1,Emilia Romagna,4.909,231.9212598
0 days 00:44:28.958000,TSU,22,0 days 00:01:15.358000,8,3,,,0 days 00:00:23.725000,0 days 00:00:26.063000,0 days 00:00:25.570000,0 days 00:43:37.325000,0 days 00:44:03.388000,0 days 00:44:28.958000,233,260,284,293,TRUE,SOFT,2,TRUE,RB,0 days 00:43:13.600000,30:53.3,1,Emilia Romagna,4.909,234.5125932
0 days 00:29:47.667000,BOT,77,0 days 00:01:16.626000,5,2,,,0 days 00:00:24.225000,0 days 00:00:26.578000,0 days 00:00:25.823000,0 days 00:28:55.266000,0 days 00:29:21.844000,0 days 00:29:47.667000,226,257,283,295,TRUE,SOFT,2,TRUE,Kick Sauber,0 days 00:28:31.041000,16:10.8,1,Emilia Romagna,4.909,230.6319004
