LapTime,Top Speed,Team,Track,Year,Track Length,Track Corners,Mean Speed
0 days 00:01:15.738000,291,Williams,Brazil,2023,4.309,15,204.8166046
0 days 00:01:15.036000,297,Haas F1 Team,Brazil,2023,4.309,15,206.7327683
0 days 00:01:15.731000,315,Kick Sauber,Brazil,2023,4.309,15,204.8355363
0 days 00:01:35.614000,311,Red Bull Racing,Las Vegas,2023,6.1,17,229.6734788
0 days 00:01:36.637000,314,Alpine,Las Vegas,2023,6.1,17,227.2421536
0 days 00:01:36.559000,316,Aston Martin,Las Vegas,2023,6.1,17,227.425719
0 days 00:01:35.669000,350,Ferrari,Las Vegas,2023,6.1,17,229.5414398
0 days 00:01:37.357000,335,Williams,Las Vegas,2023,6.1,17,225.5615929
0 days 00:01:37.455000,325,Haas F1 Team,Las Vegas,2023,6.1,17,225.3347699
0 days 00:01:37.108000,313,RB,Las Vegas,2023,6.1,17,226.1399679
0 days 00:01:37.375000,306,Kick Sauber,Las Vegas,2023,6.1,17,225.5198973
0 days 00:01:35.490000,324,McLaren,Las Vegas,2023,6.1,17,229.9717248
0 days 00:01:35.716000,324,Mercedes,Las Vegas,2023,6.1,17,229.4287266
0 days 00:01:26.993000,299,Red Bull Racing,Abu Dhabi,2023,5.554,15,229.8391825
0 days 00:01:28.199000,305,Ferrari,Abu Dhabi,2023,5.554,15,226.6964478
0 days 00:01:28.187000,300,Mercedes,Abu Dhabi,2023,5.554,15,226.7272954
0 days 00:01:28.138000,307,McLaren,Abu Dhabi,2023,5.554,15,226.8533436
0 days 00:01:28.050000,294,Aston Martin,Abu Dhabi,2023,5.554,15,227.0800681
0 days 00:01:28.571000,304,RB,Abu Dhabi,2023,5.554,15,225.7443181
0 days 00:01:29.016000,294,Alpine,Abu Dhabi,2023,5.554,15,224.6157994
0 days 00:01:27.845000,318,Williams,Abu Dhabi,2023,5.554,15,227.6099949
0 days 00:01:29.217000,296,Haas F1 Team,Abu Dhabi,2023,5.554,15,224.1097549
0 days 00:01:28.746000,318,Kick Sauber,Abu Dhabi,2023,5.554,15,225.2991684
0 days 00:01:32.608000,299,Red Bull Racing,Bahrain,2024,5.412,15,210.3835522
0 days 00:01:34.090000,318,Ferrari,Bahrain,2024,5.412,15,207.0698268
0 days 00:01:34.722000,313,Mercedes,Bahrain,2024,5.412,15,205.6882245
0 days 00:01:34.476000,301,McLaren,Bahrain,2024,5.412,15,206.2238029
0 days 00:01:34.199000,324,Aston Martin,Bahrain,2024,5.412,15,206.8302211
0 days 00:01:35.458000,302,Kick Sauber,Bahrain,2024,5.412,15,204.1023277
0 days 00:01:35.163000,302,RB,Bahrain,2024,5.412,15,204.7350336
0 days 00:01:34.735000,295,Williams,Bahrain,2024,5.412,15,205.6599989
0 days 00:01:34.805000,295,Alpine,Bahrain,2024,5.412,15,205.5081483
0 days 00:01:31.773000,309,Red Bull Racing,Saudi Arabia,2024,6.175,27,242.2281063
0 days 00:01:32.387000,308,Aston Martin,Saudi Arabia,2024,6.175,27,240.6182688
0 days 00:01:31.632000,312,Ferrari,Saudi Arabia,2024,6.175,27,242.6008381
0 days 00:01:32.307000,317,Williams,Saudi Arabia,2024,6.175,27,240.8268062
0 days 00:01:32.338000,308,Haas F1 Team,Saudi Arabia,2024,6.175,27,240.7459551
0 days 00:01:33.323000,318,RB,Saudi Arabia,2024,6.175,27,238.2049441
0 days 00:01:32.208000,308,Kick Sauber,Saudi Arabia,2024,6.175,27,241.0853722
0 days 00:01:33.481000,309,Alpine,Saudi Arabia,2024,6.175,27,237.8023342
0 days 00:01:31.944000,299,McLaren,Saudi Arabia,2024,6.175,27,241.7776038
0 days 00:01:31.746000,330,Mercedes,Saudi Arabia,2024,6.175,27,242.2993918
0 days 00:01:20.388000,295,Red Bull Racing,Australia,2024,5.278,16,236.3636364
0 days 00:01:20.493000,290,Aston Martin,Australia,2024,5.278,16,236.0553092
0 days 00:01:19.813000,298,Ferrari,Australia,2024,5.278,16,238.0664804
0 days 00:01:21.082000,315,Haas F1 Team,Australia,2024,5.278,16,234.3405441
0 days 00:01:21.134000,298,RB,Australia,2024,5.278,16,234.1903518
0 days 00:01:21.618000,307,Williams,Australia,2024,5.278,16,232.8015879
0 days 00:01:21.327000,302,Kick Sauber,Australia,2024,5.278,16,233.6345863
0 days 00:01:19.915000,293,McLaren,Australia,2024,5.278,16,237.7626228
0 days 00:01:20.284000,296,Mercedes,Australia,2024,5.278,16,236.6698221
0 days 00:01:33.706000,298,Red Bull Racing,Japan,2024,5.807,18,223.0935052
0 days 00:01:33.841000,297,Ferrari,Japan,2024,5.807,18,222.7725621
0 days 00:01:34.802000,298,McLaren,Japan,2024,5.807,18,220.5143351
0 days 00:01:34.726000,300,Aston Martin,Japan,2024,5.807,18,220.6912569
0 days 00:01:33.952000,296,Mercedes,Japan,2024,5.807,18,222.5093665
0 days 00:01:36.342000,298,RB,Japan,2024,5.807,18,216.989475
0 days 00:01:35.325000,305,Haas F1 Team,Japan,2024,5.807,18,219.3044847
0 days 00:01:36.608000,289,Kick Sauber,Japan,2024,5.807,18,216.3920172
0 days 00:01:36.232000,300,Alpine,Japan,2024,5.807,18,217.2375094
0 days 00:01:34.900000,298,Williams,Japan,2024,5.807,18,220.2866175
0 days 00:01:38.406000,307,Red Bull Racing,China,2024,5.451,16,199.4146698
0 days 00:01:39.198000,297,Alpine,China,2024,5.451,16,197.8225367
0 days 00:01:37.810000,332,Aston Martin,China,2024,5.451,16,200.6297925
0 days 00:01:39.384000,309,Ferrari,China,2024,5.451,16,197.4523062
0 days 00:01:40.790000,312,Williams,China,2024,5.451,16,194.6978867
0 days 00:01:40.815000,315,Haas F1 Team,China,2024,5.451,16,194.6496057
0 days 00:01:40.994000,314,RB,China,2024,5.451,16,194.3046122
0 days 00:01:38.633000,306,Kick Sauber,China,2024,5.451,16,198.9557248
0 days 00:01:38.751000,309,McLaren,China,2024,5.451,16,198.7179877
0 days 00:01:40.112000,330,Mercedes,China,2024,5.451,16,196.0164616
0 days 00:01:30.855000,317,Red Bull Racing,Miami,2024,5.41,18,214.3635463
0 days 00:01:32.037000,320,Alpine,Miami,2024,5.41,18,211.6105479
0 days 00:01:31.588000,345,Aston Martin,Miami,2024,5.41,18,212.6479451
0 days 00:01:30.928000,318,Ferrari,Miami,2024,5.41,18,214.1914482
0 days 00:01:30.849000,323,Williams,Miami,2024,5.41,18,214.3777037
0 days 00:01:31.774000,316,Haas F1 Team,Miami,2024,5.41,18,212.2169678
0 days 00:01:31.682000,314,RB,Miami,2024,5.41,18,212.4299208
0 days 00:01:31.991000,320,Kick Sauber,Miami,2024,5.41,18,211.7163636
0 days 00:01:30.634000,316,McLaren,Miami,2024,5.41,18,214.8862458
0 days 00:01:31.233000,325,Mercedes,Miami,2024,5.41,18,213.4753872
0 days 00:01:19.686000,296,Red Bull Racing,Emilia Romagna,2024,4.909,19,221.7754687
0 days 00:01:19.907000,287,McLaren,Emilia Romagna,2024,4.909,19,221.1621009
0 days 00:01:19.935000,283,Ferrari,Emilia Romagna,2024,4.909,19,221.0846313
0 days 00:01:18.589000,291,Mercedes,Emilia Romagna,2024,4.909,19,224.8711652
0 days 00:01:19.004000,294,Aston Martin,Emilia Romagna,2024,4.909,19,223.6899397
0 days 00:01:20.936000,281,RB,Emilia Romagna,2024,4.909,19,218.3503015
0 days 00:01:21.009000,295,Haas F1 Team,Emilia Romagna,2024,4.909,19,218.1535385
0 days 00:01:21.304000,279,Alpine,Emilia Romagna,2024,4.909,19,217.3619994
0 days 00:01:21.016000,296,Kick Sauber,Emilia Romagna,2024,4.909,19,218.1346894
0 days 00:01:21.229000,290,Williams,Emilia Romagna,2024,4.909,19,217.5626931
0 days 00:01:14.726000,280,Ferrari,Monaco,2024,3.337,19,160.763322
0 days 00:01:15.742000,281,McLaren,Monaco,2024,3.337,19,158.6068496
0 days 00:01:14.165000,282,Mercedes,Monaco,2024,3.337,19,161.9793703
0 days 00:01:14.569000,265,Red Bull Racing,Monaco,2024,3.337,19,161.1017983
0 days 00:01:14.720000,275,RB,Monaco,2024,3.337,19,160.7762313
0 days 00:01:15.525000,278,Williams,Monaco,2024,3.337,19,159.0625621
0 days 00:01:15.625000,278,Alpine,Monaco,2024,3.337,19,158.8522314
0 days 00:01:16.710000,281,Aston Martin,Monaco,2024,3.337,19,156.6053969
0 days 00:01:14.718000,276,Kick Sauber,Monaco,2024,3.337,19,160.7805348
,292.988,Red Bull Racing,Canada,2024,4.361,13,186.1866
,292.5431,RB,Canada,2024,4.361,13,185.9987
,289.4237,Alpine,Canada,2024,4.361,13,184.6829
,290.315,Ferrari,Canada,2024,4.361,13,185.0589
,289.8693,Aston Martin,Canada,2024,4.361,13,184.87093
,290.7606,Haas F1 Team,Canada,2024,4.361,13,185.24686
,293.43436,Williams,Canada,2024,4.361,13,186.37465
,291.20624,Kick Sauber,Canada,2024,4.361,13,185.4348
,291.6519,McLaren,Canada,2024,4.361,13,185.62279
,292.0975,Mercedes,Canada,2024,4.361,13,185.8107
