Team,Average Predicted Speed
Alpine,195.36768
Aston Martin,195.51443
Ferrari,195.66115
Haas F1 Team,195.8079
Kick Sauber,195.9546
McLaren,196.10136
Mercedes,196.2481
RB,196.39482
Red Bull Racing,196.54156
Williams,196.68828
