Corner Number,X,Y,Number,Letter,Angle,Distance,Track
11,-842.6948558,2193.131868,12,,-127.8533628,3740.821636,Spain
12,538.1157728,4122.029,13,,-255.9830063,4008.537244,Spain
13,2881.013214,2459.729475,14,,-353.6644628,4325.274203,Spain
0,-7381.106934,-4719.949219,1,,140.3846313,181.2192691,Monaco
1,-3634.549072,-3769.346436,2,,103.0151172,577.2247935,Monaco
2,-2275.649414,-3071.900879,3,,168.9498423,746.4982983,Monaco
3,-2745.113281,-1956.109497,4,,-174.3962567,868.0244428,Monaco
4,-1422.224854,-197.893692,5,,76.19105663,1093.231783,Monaco
5,-797.2467651,-1127.089111,6,,-85.86275309,1213.323221,Monaco
6,-1016.884705,-477.5965576,7,,-14.46141606,1295.857486,Monaco
7,-271.2293091,-251.0789795,8,,44.79949514,1389.901348,Monaco
8,-1126.092163,-3321.891602,9,,125.0997534,1730.473069,Monaco
9,-4159.989258,-4441.595215,10,,144.8456105,2048.152798,Monaco
10,-4579.203125,-4621.616699,11,,-103.729396,2101.626172,Monaco
11,-6814.426758,-4914.705078,12,,-54.96258737,2325.846341,Monaco
12,-7167.999512,-6327.601074,13,,-155.762497,2481.292528,Monaco
13,-6992.054199,-6563.864258,14,,21.94406998,2481.292528,Monaco
14,-6752.381836,-7870.388672,15,,-10.76256252,2642.196682,Monaco
15,-6875.226563,-8042.583008,16,,153.7911408,2664.972328,Monaco
16,-6723.556641,-8744.119141,17,,27.71185341,2731.172297,Monaco
17,-5928,-9572.421875,18,,-7.508149364,2854.387874,Monaco
18,-6718.729492,-9704.870117,19,,-137.0854492,2949.512292,Monaco
0,3314.213623,-1317.854858,1,,-165.7042232,219.2962805,Canada
1,3856.56665,-2073.48877,2,,-22.29262851,317.3172439,Canada
2,740.0004883,-608.9919434,3,,-158.8821115,696.5058627,Canada
3,746.3623047,-42.99305725,4,,10.98196815,753.3396779,Canada
4,-724.0447388,1618.967407,5,,29.69970797,996.0522157,Canada
5,-993.916626,3790.888672,6,,27.68189481,1195.60665,Canada
6,-1783.87146,4016.300781,7,,-117.8050147,1299.914623,Canada
7,-1785.44043,10539.70605,8,,118.5937331,1984.117825,Canada
8,-1140.291992,10976.31445,9,,-28.30519809,2063.851986,Canada
9,-711.5053711,16759.56445,10,,97.79649538,2657.996088,Canada
10,-374.8269958,15840.40039,11,,9.367721221,2768.151585,Canada
11,975.8725586,12421.17285,12,,-161.1700428,3146.98163,Canada
12,2586.93335,5440.833008,13,,-21.1681273,3855.182656,Canada
13,2435.436279,5153.82959,14,,157.0777992,3893.207627,Canada
0,1192.508301,4503.826172,1,,98.48992415,455.4902362,Great Britain
1,2770.315186,4462.89209,2,,-78.03462987,614.6688686,Great Britain
2,4845.322266,5895.130371,3,,98.2555452,862.6186302,Great Britain
3,5802.704102,4733.524414,4,,-75.86392529,1026.670592,Great Britain
4,6232.291016,6458.979492,5,,19.10473024,1221.648419,Great Britain
5,631.3859863,10910.23242,6,,108.3056633,1953.790114,Great Britain
6,-566.2516479,9540.383789,7,,-130.0081866,2169.897437,Great Britain
