Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Track,Year
0 days 02:01:30.459000,STR,18,0 days 00:01:21.901000,38,2,,,0 days 00:00:26.214000,0 days 00:00:28.207000,0 days 00:00:27.480000,0 days 02:00:34.731000,0 days 02:01:02.938000,0 days 02:01:30.418000,211,251,274,278,TRUE,MEDIUM,22,FALSE,Aston Martin,0 days 02:00:08.558000,01:08.6,1,10,FALSE,,FALSE,TRUE,Emilia Romagna,2022
0 days 02:05:36.246000,STR,18,0 days 00:01:21.820000,41,2,,,0 days 00:00:26.147000,0 days 00:00:28.159000,0 days 00:00:27.514000,0 days 02:04:40.532000,0 days 02:05:08.691000,0 days 02:05:36.205000,211,250,275,278,TRUE,MEDIUM,25,FALSE,Aston Martin,0 days 02:04:14.426000,05:14.4,1,10,FALSE,,FALSE,TRUE,Emilia Romagna,2022
0 days 02:12:27.681000,STR,18,0 days 00:01:21.750000,46,2,,,0 days 00:00:26.122000,0 days 00:00:28.184000,0 days 00:00:27.444000,0 days 02:11:32.012000,0 days 02:12:00.196000,0 days 02:12:27.640000,213,253,275,278,TRUE,MEDIUM,30,FALSE,Aston Martin,0 days 02:11:05.931000,12:05.9,1,10,FALSE,,FALSE,TRUE,Emilia Romagna,2022
0 days 01:09:01.929000,ALB,23,0 days 00:02:15.554000,3,1,,,0 days 00:00:40.359000,0 days 00:00:47.481000,0 days 00:00:47.714000,0 days 01:07:26.808000,0 days 01:08:14.289000,0 days 01:09:02.003000,191,93,212,111,TRUE,INTERMEDIATE,3,TRUE,Williams,0 days 01:06:46.375000,07:46.4,4,15,FALSE,,FALSE,FALSE,Emilia Romagna,2022
0 days 01:11:11.308000,ALB,23,0 days 00:02:09.379000,4,1,,,0 days 00:00:36.678000,0 days 00:00:44.867000,0 days 00:00:47.834000,0 days 01:09:38.681000,0 days 01:10:23.548000,0 days 01:11:11.382000,173,162,267,133,TRUE,INTERMEDIATE,4,TRUE,Williams,0 days 01:09:01.929000,10:01.9,41,15,FALSE,,FALSE,FALSE,Emilia Romagna,2022
0 days 01:12:49.793000,ALB,23,0 days 00:01:38.485000,5,1,,,0 days 00:00:31.954000,0 days 00:00:33.245000,0 days 00:00:33.286000,0 days 01:11:43.336000,0 days 01:12:16.581000,0 days 01:12:49.867000,194,247,267,209,TRUE,INTERMEDIATE,5,TRUE,Williams,0 days 01:11:11.308000,12:11.3,1,15,FALSE,,FALSE,TRUE,Emilia Romagna,2022
0 days 01:14:24.817000,ALB,23,0 days 00:01:35.024000,6,1,,,0 days 00:00:30.522000,0 days 00:00:32.303000,0 days 00:00:32.199000,0 days 01:13:20.389000,0 days 01:13:52.692000,0 days 01:14:24.891000,195,246,271,222,TRUE,INTERMEDIATE,6,TRUE,Williams,0 days 01:12:49.793000,13:49.8,1,14,FALSE,,FALSE,TRUE,Emilia Romagna,2022
0 days 01:15:58.201000,ALB,23,0 days 00:01:33.384000,7,1,,,0 days 00:00:29.847000,0 days 00:00:31.849000,0 days 00:00:31.688000,0 days 01:14:54.738000,0 days 01:15:26.587000,0 days 01:15:58.275000,196,248,271,223,TRUE,INTERMEDIATE,7,TRUE,Williams,0 days 01:14:24.817000,15:24.8,1,14,FALSE,,FALSE,TRUE,Emilia Romagna,2022
0 days 01:17:31.119000,ALB,23,0 days 00:01:32.918000,8,1,,,0 days 00:00:29.346000,0 days 00:00:31.792000,0 days 00:00:31.780000,0 days 01:16:27.621000,0 days 01:16:59.413000,0 days 01:17:31.193000,197,246,272,238,TRUE,INTERMEDIATE,8,TRUE,Williams,0 days 01:15:58.201000,16:58.2,1,14,FALSE,,FALSE,TRUE,Emilia Romagna,2022
0 days 01:35:11.303000,ALB,23,0 days 00:01:28.905000,19,2,,,0 days 00:00:28.683000,0 days 00:00:30.251000,0 days 00:00:29.971000,0 days 01:34:11.155000,0 days 01:34:41.406000,0 days 01:35:11.377000,196,249,279,238,TRUE,MEDIUM,2,TRUE,Williams,0 days 01:33:42.398000,34:42.4,1,13,FALSE,,FALSE,TRUE,Emilia Romagna,2022
0 days 01:36:38.035000,ALB,23,0 days 00:01:26.732000,20,2,,,0 days 00:00:28.014000,0 days 00:00:29.565000,0 days 00:00:29.153000,0 days 01:35:39.391000,0 days 01:36:08.956000,0 days 01:36:38.109000,205,249,279,263,TRUE,MEDIUM,3,TRUE,Williams,0 days 01:35:11.303000,36:11.3,1,12,FALSE,,FALSE,TRUE,Emilia Romagna,2022
0 days 01:38:03.680000,ALB,23,0 days 00:01:25.645000,21,2,,,0 days 00:00:27.842000,0 days 00:00:29.338000,0 days 00:00:28.465000,0 days 01:37:05.951000,0 days 01:37:35.289000,0 days 01:38:03.754000,202,250,278,267,TRUE,MEDIUM,4,TRUE,Williams,0 days 01:36:38.035000,37:38.0,1,12,FALSE,,FALSE,TRUE,Emilia Romagna,2022
0 days 01:39:28.544000,ALB,23,0 days 00:01:24.864000,22,2,,,0 days 00:00:27.294000,0 days 00:00:29.268000,0 days 00:00:28.302000,0 days 01:38:31.048000,0 days 01:39:00.316000,0 days 01:39:28.618000,205,250,279,273,TRUE,MEDIUM,5,TRUE,Williams,0 days 01:38:03.680000,39:03.7,1,12,FALSE,,FALSE,TRUE,Emilia Romagna,2022
0 days 01:40:52.606000,ALB,23,0 days 00:01:24.062000,23,2,,,0 days 00:00:27.083000,0 days 00:00:29.041000,0 days 00:00:27.938000,0 days 01:39:55.701000,0 days 01:40:24.742000,0 days 01:40:52.680000,209,252,279,282,TRUE,MEDIUM,6,TRUE,Williams,0 days 01:39:28.544000,40:28.6,1,12,FALSE,,FALSE,TRUE,Emilia Romagna,2022
0 days 01:42:16.209000,ALB,23,0 days 00:01:23.603000,24,2,,,0 days 00:00:26.853000,0 days 00:00:28.900000,0 days 00:00:27.850000,0 days 01:41:19.533000,0 days 01:41:48.433000,0 days 01:42:16.283000,206,248,277,278,TRUE,MEDIUM,7,TRUE,Williams,0 days 01:40:52.606000,41:52.6,12,12,FALSE,,FALSE,TRUE,Emilia Romagna,2022
0 days 01:43:39.425000,ALB,23,0 days 00:01:23.216000,25,2,,,0 days 00:00:26.595000,0 days 00:00:28.769000,0 days 00:00:27.852000,0 days 01:42:42.878000,0 days 01:43:11.647000,0 days 01:43:39.499000,213,255,279,285,TRUE,MEDIUM,8,TRUE,Williams,0 days 01:42:16.209000,43:16.2,21,12,FALSE,,FALSE,TRUE,Emilia Romagna,2022
0 days 01:46:27.189000,ALB,23,0 days 00:01:23.198000,27,2,,,0 days 00:00:26.652000,0 days 00:00:28.882000,0 days 00:00:27.664000,0 days 01:45:30.717000,0 days 01:45:59.599000,0 days 01:46:27.263000,209,250,279,285,TRUE,MEDIUM,10,TRUE,Williams,0 days 01:45:03.991000,46:04.0,1,12,FALSE,,FALSE,TRUE,Emilia Romagna,2022
0 days 01:47:50.208000,ALB,23,0 days 00:01:23.019000,28,2,,,0 days 00:00:26.490000,0 days 00:00:28.754000,0 days 00:00:27.775000,0 days 01:46:53.753000,0 days 01:47:22.507000,0 days 01:47:50.282000,212,251,277,280,TRUE,MEDIUM,11,TRUE,Williams,0 days 01:46:27.189000,47:27.2,1,12,FALSE,,FALSE,TRUE,Emilia Romagna,2022
0 days 01:49:12.963000,ALB,23,0 days 00:01:22.755000,29,2,,,0 days 00:00:26.338000,0 days 00:00:28.722000,0 days 00:00:27.695000,0 days 01:48:16.620000,0 days 01:48:45.342000,0 days 01:49:13.037000,213,254,278,280,TRUE,MEDIUM,12,TRUE,Williams,0 days 01:47:50.208000,48:50.2,1,12,FALSE,,FALSE,TRUE,Emilia Romagna,2022
0 days 01:50:35.626000,ALB,23,0 days 00:01:22.663000,30,2,,,0 days 00:00:26.371000,0 days 00:00:28.695000,0 days 00:00:27.597000,0 days 01:49:39.408000,0 days 01:50:08.103000,0 days 01:50:35.700000,212,252,278,285,TRUE,MEDIUM,13,TRUE,Williams,0 days 01:49:12.963000,50:13.0,1,12,FALSE,,FALSE,TRUE,Emilia Romagna,2022
0 days 01:51:58.113000,ALB,23,0 days 00:01:22.487000,31,2,,,0 days 00:00:26.265000,0 days 00:00:28.610000,0 days 00:00:27.612000,0 days 01:51:01.965000,0 days 01:51:30.575000,0 days 01:51:58.187000,214,253,278,281,TRUE,MEDIUM,14,TRUE,Williams,0 days 01:50:35.626000,51:35.6,1,12,FALSE,,FALSE,TRUE,Emilia Romagna,2022
0 days 01:53:20.502000,ALB,23,0 days 00:01:22.389000,32,2,,,0 days 00:00:26.242000,0 days 00:00:28.609000,0 days 00:00:27.538000,0 days 01:52:24.429000,0 days 01:52:53.038000,0 days 01:53:20.576000,212,251,278,279,TRUE,MEDIUM,15,TRUE,Williams,0 days 01:51:58.113000,52:58.1,1,12,FALSE,,FALSE,TRUE,Emilia Romagna,2022
0 days 01:54:42.814000,ALB,23,0 days 00:01:22.312000,33,2,,,0 days 00:00:26.056000,0 days 00:00:28.562000,0 days 00:00:27.694000,0 days 01:53:46.632000,0 days 01:54:15.194000,0 days 01:54:42.888000,216,255,278,280,TRUE,MEDIUM,16,TRUE,Williams,0 days 01:53:20.502000,54:20.5,1,12,FALSE,,FALSE,TRUE,Emilia Romagna,2022
0 days 01:56:05.061000,ALB,23,0 days 00:01:22.247000,34,2,,,0 days 00:00:26.136000,0 days 00:00:28.562000,0 days 00:00:27.549000,0 days 01:55:09.024000,0 days 01:55:37.586000,0 days 01:56:05.135000,212,252,278,285,TRUE,MEDIUM,17,TRUE,Williams,0 days 01:54:42.814000,55:42.8,1,12,FALSE,,FALSE,TRUE,Emilia Romagna,2022
0 days 01:57:27.198000,ALB,23,0 days 00:01:22.137000,35,2,,,0 days 00:00:26.090000,0 days 00:00:28.492000,0 days 00:00:27.555000,0 days 01:56:31.225000,0 days 01:56:59.717000,0 days 01:57:27.272000,,253,278,282,TRUE,MEDIUM,18,TRUE,Williams,0 days 01:56:05.061000,57:05.1,1,12,FALSE,,FALSE,TRUE,Emilia Romagna,2022
0 days 01:58:49.314000,ALB,23,0 days 00:01:22.116000,36,2,,,0 days 00:00:26.081000,0 days 00:00:28.459000,0 days 00:00:27.576000,0 days 01:57:53.353000,0 days 01:58:21.812000,0 days 01:58:49.388000,214,253,280,286,TRUE,MEDIUM,19,TRUE,Williams,0 days 01:57:27.198000,58:27.2,1,12,FALSE,,FALSE,TRUE,Emilia Romagna,2022
0 days 02:01:33.470000,ALB,23,0 days 00:01:22.040000,38,2,,,0 days 00:00:26.047000,0 days 00:00:28.527000,0 days 00:00:27.466000,0 days 02:00:37.551000,0 days 02:01:06.078000,0 days 02:01:33.544000,211,251,280,285,TRUE,MEDIUM,21,TRUE,Williams,0 days 02:00:11.430000,01:11.4,1,12,FALSE,,FALSE,TRUE,Emilia Romagna,2022
0 days 02:11:08.930000,ALB,23,0 days 00:01:22.029000,45,2,,,0 days 00:00:25.942000,0 days 00:00:28.483000,0 days 00:00:27.604000,0 days 02:10:12.917000,0 days 02:10:41.400000,0 days 02:11:09.004000,,254,281,286,TRUE,MEDIUM,28,TRUE,Williams,0 days 02:09:46.901000,10:46.9,1,12,FALSE,,FALSE,TRUE,Emilia Romagna,2022
0 days 02:12:30.880000,ALB,23,0 days 00:01:21.950000,46,2,,,0 days 00:00:25.945000,0 days 00:00:28.506000,0 days 00:00:27.499000,0 days 02:11:34.949000,0 days 02:12:03.455000,0 days 02:12:30.954000,215,255,280,289,TRUE,MEDIUM,29,TRUE,Williams,0 days 02:11:08.930000,12:08.9,1,12,FALSE,,FALSE,TRUE,Emilia Romagna,2022
0 days 02:31:41.190000,ALB,23,0 days 00:01:21.906000,60,2,,,0 days 00:00:25.935000,0 days 00:00:28.543000,0 days 00:00:27.428000,0 days 02:30:45.293000,0 days 02:31:13.836000,0 days 02:31:41.264000,,257,282,291,TRUE,MEDIUM,43,TRUE,Williams,0 days 02:30:19.284000,31:19.3,1,12,FALSE,,FALSE,TRUE,Emilia Romagna,2022
0 days 02:33:02.947000,ALB,23,0 days 00:01:21.757000,61,2,,,0 days 00:00:25.828000,0 days 00:00:28.408000,0 days 00:00:27.521000,0 days 02:32:07.092000,0 days 02:32:35.500000,0 days 02:33:03.021000,,258,281,297,TRUE,MEDIUM,44,TRUE,Williams,0 days 02:31:41.190000,32:41.2,1,12,FALSE,,FALSE,TRUE,Emilia Romagna,2022
0 days 01:09:01.577000,GAS,10,0 days 00:02:15.662000,3,1,,,0 days 00:00:39.025000,0 days 00:00:48.390000,0 days 00:00:48.247000,0 days 01:07:24.979000,0 days 01:08:13.369000,0 days 01:09:01.616000,187,103,188,94,TRUE,INTERMEDIATE,3,TRUE,AlphaTauri,0 days 01:06:45.915000,07:45.9,4,14,FALSE,,FALSE,FALSE,Emilia Romagna,2022
0 days 01:11:10.734000,GAS,10,0 days 00:02:09.157000,4,1,,,0 days 00:00:36.245000,0 days 00:00:44.235000,0 days 00:00:48.677000,0 days 01:09:37.861000,0 days 01:10:22.096000,0 days 01:11:10.773000,190,167,267,132,TRUE,INTERMEDIATE,4,TRUE,AlphaTauri,0 days 01:09:01.577000,10:01.6,41,14,FALSE,,FALSE,FALSE,Emilia Romagna,2022
0 days 01:12:49.177000,GAS,10,0 days 00:01:38.443000,5,1,,,0 days 00:00:32.247000,0 days 00:00:33.085000,0 days 00:00:33.111000,0 days 01:11:43.020000,0 days 01:12:16.105000,0 days 01:12:49.216000,192,242,265,212,TRUE,INTERMEDIATE,5,TRUE,AlphaTauri,0 days 01:11:10.734000,12:10.7,1,14,FALSE,,FALSE,TRUE,Emilia Romagna,2022
0 days 01:14:24.387000,GAS,10,0 days 00:01:35.210000,6,1,,,0 days 00:00:30.807000,0 days 00:00:32.167000,0 days 00:00:32.236000,0 days 01:13:20.023000,0 days 01:13:52.190000,0 days 01:14:24.426000,195,244,265,229,TRUE,INTERMEDIATE,6,TRUE,AlphaTauri,0 days 01:12:49.177000,13:49.2,1,13,FALSE,,FALSE,TRUE,Emilia Romagna,2022
0 days 01:15:57.710000,GAS,10,0 days 00:01:33.323000,7,1,,,0 days 00:00:29.770000,0 days 00:00:31.836000,0 days 00:00:31.717000,0 days 01:14:54.196000,0 days 01:15:26.032000,0 days 01:15:57.749000,199,243,263,234,TRUE,INTERMEDIATE,7,TRUE,AlphaTauri,0 days 01:14:24.387000,15:24.4,1,13,FALSE,,FALSE,TRUE,Emilia Romagna,2022
0 days 01:17:30.629000,GAS,10,0 days 00:01:32.919000,8,1,,,0 days 00:00:29.394000,0 days 00:00:31.834000,0 days 00:00:31.691000,0 days 01:16:27.143000,0 days 01:16:58.977000,0 days 01:17:30.668000,200,240,264,244,TRUE,INTERMEDIATE,8,TRUE,AlphaTauri,0 days 01:15:57.710000,16:57.7,1,13,FALSE,,FALSE,TRUE,Emilia Romagna,2022
0 days 01:35:11.038000,GAS,10,0 days 00:01:31.595000,19,2,,,0 days 00:00:30.413000,0 days 00:00:30.725000,0 days 00:00:30.457000,0 days 01:34:09.895000,0 days 01:34:40.620000,0 days 01:35:11.077000,200,249,273,244,TRUE,MEDIUM,2,TRUE,AlphaTauri,0 days 01:33:39.443000,34:39.5,1,12,FALSE,,FALSE,TRUE,Emilia Romagna,2022
0 days 01:36:39.040000,GAS,10,0 days 00:01:28.002000,20,2,,,0 days 00:00:29.110000,0 days 00:00:29.567000,0 days 00:00:29.325000,0 days 01:35:40.187000,0 days 01:36:09.754000,0 days 01:36:39.079000,208,250,271,263,TRUE,MEDIUM,3,TRUE,AlphaTauri,0 days 01:35:11.038000,36:11.1,1,13,FALSE,,FALSE,TRUE,Emilia Romagna,2022
0 days 01:38:04.746000,GAS,10,0 days 00:01:25.706000,21,2,,,0 days 00:00:27.672000,0 days 00:00:29.393000,0 days 00:00:28.641000,0 days 01:37:06.751000,0 days 01:37:36.144000,0 days 01:38:04.785000,198,250,270,273,TRUE,MEDIUM,4,TRUE,AlphaTauri,0 days 01:36:39.040000,37:39.1,1,13,FALSE,,FALSE,TRUE,Emilia Romagna,2022
0 days 01:39:29.481000,GAS,10,0 days 00:01:24.735000,22,2,,,0 days 00:00:27.228000,0 days 00:00:29.092000,0 days 00:00:28.415000,0 days 01:38:32.013000,0 days 01:39:01.105000,0 days 01:39:29.520000,207,251,270,280,TRUE,MEDIUM,5,TRUE,AlphaTauri,0 days 01:38:04.746000,39:04.8,1,13,FALSE,,FALSE,TRUE,Emilia Romagna,2022
0 days 01:40:53.628000,GAS,10,0 days 00:01:24.147000,23,2,,,0 days 00:00:27.137000,0 days 00:00:28.950000,0 days 00:00:28.060000,0 days 01:39:56.657000,0 days 01:40:25.607000,0 days 01:40:53.667000,211,251,272,286,TRUE,MEDIUM,6,TRUE,AlphaTauri,0 days 01:39:29.481000,40:29.5,1,13,FALSE,,FALSE,TRUE,Emilia Romagna,2022
0 days 01:42:17.385000,GAS,10,0 days 00:01:23.757000,24,2,,,0 days 00:00:26.755000,0 days 00:00:28.885000,0 days 00:00:28.117000,0 days 01:41:20.422000,0 days 01:41:49.307000,0 days 01:42:17.424000,,251,272,286,TRUE,MEDIUM,7,TRUE,AlphaTauri,0 days 01:40:53.628000,41:53.6,12,13,FALSE,,FALSE,TRUE,Emilia Romagna,2022
0 days 01:46:28.041000,GAS,10,0 days 00:01:23.069000,27,2,,,0 days 00:00:26.518000,0 days 00:00:28.735000,0 days 00:00:27.816000,0 days 01:45:31.529000,0 days 01:46:00.264000,0 days 01:46:28.080000,212,253,273,287,TRUE,MEDIUM,10,TRUE,AlphaTauri,0 days 01:45:04.972000,46:05.0,1,13,FALSE,,FALSE,TRUE,Emilia Romagna,2022
0 days 01:47:50.995000,GAS,10,0 days 00:01:22.954000,28,2,,,0 days 00:00:26.451000,0 days 00:00:28.725000,0 days 00:00:27.778000,0 days 01:46:54.531000,0 days 01:47:23.256000,0 days 01:47:51.034000,214,253,273,290,TRUE,MEDIUM,11,TRUE,AlphaTauri,0 days 01:46:28.041000,47:28.1,1,13,FALSE,,FALSE,TRUE,Emilia Romagna,2022
0 days 01:50:36.800000,GAS,10,0 days 00:01:22.810000,30,2,,,0 days 00:00:26.465000,0 days 00:00:28.613000,0 days 00:00:27.732000,0 days 01:49:40.494000,0 days 01:50:09.107000,0 days 01:50:36.839000,209,249,273,280,TRUE,MEDIUM,13,TRUE,AlphaTauri,0 days 01:49:13.990000,50:14.0,1,13,FALSE,,FALSE,TRUE,Emilia Romagna,2022
0 days 01:51:59.328000,GAS,10,0 days 00:01:22.528000,31,2,,,0 days 00:00:26.316000,0 days 00:00:28.560000,0 days 00:00:27.652000,0 days 01:51:03.155000,0 days 01:51:31.715000,0 days 01:51:59.367000,210,250,272,279,TRUE,MEDIUM,14,TRUE,AlphaTauri,0 days 01:50:36.800000,51:36.8,1,13,FALSE,,FALSE,TRUE,Emilia Romagna,2022
0 days 01:53:21.674000,GAS,10,0 days 00:01:22.346000,32,2,,,0 days 00:00:26.405000,0 days 00:00:28.413000,0 days 00:00:27.528000,0 days 01:52:25.772000,0 days 01:52:54.185000,0 days 01:53:21.713000,213,252,273,289,TRUE,MEDIUM,15,TRUE,AlphaTauri,0 days 01:51:59.328000,52:59.3,1,13,FALSE,,FALSE,TRUE,Emilia Romagna,2022
0 days 01:56:05.986000,GAS,10,0 days 00:01:21.713000,34,2,,,0 days 00:00:26.239000,0 days 00:00:28.217000,0 days 00:00:27.257000,0 days 01:55:10.551000,0 days 01:55:38.768000,0 days 01:56:06.025000,215,253,278,290,TRUE,MEDIUM,17,TRUE,AlphaTauri,0 days 01:54:44.273000,55:44.3,1,13,FALSE,,FALSE,TRUE,Emilia Romagna,2022
0 days 01:06:42.611000,HAM,44,0 days 00:02:29.645000,2,1,,,0 days 00:00:51.427000,0 days 00:00:49.184000,0 days 00:00:49.034000,0 days 01:05:04.376000,0 days 01:05:53.560000,0 days 01:06:42.594000,185,86,152,187,TRUE,INTERMEDIATE,2,FALSE,Mercedes,0 days 01:04:12.966000,05:13.0,4,12,FALSE,,FALSE,FALSE,Emilia Romagna,2022
0 days 01:08:58.538000,HAM,44,0 days 00:02:15.927000,3,1,,,0 days 00:00:40.306000,0 days 00:00:47.559000,0 days 00:00:48.062000,0 days 01:07:22.900000,0 days 01:08:10.459000,0 days 01:08:58.521000,179,133,203,106,TRUE,INTERMEDIATE,3,FALSE,Mercedes,0 days 01:06:42.611000,07:42.6,4,12,FALSE,,FALSE,FALSE,Emilia Romagna,2022
0 days 01:11:10.102000,HAM,44,0 days 00:02:11.564000,4,1,,,0 days 00:00:36.735000,0 days 00:00:44.179000,0 days 00:00:50.650000,0 days 01:09:35.256000,0 days 01:10:19.435000,0 days 01:11:10.085000,191,108,268,117,TRUE,INTERMEDIATE,4,FALSE,Mercedes,0 days 01:08:58.538000,09:58.6,41,12,FALSE,,FALSE,FALSE,Emilia Romagna,2022
0 days 01:12:48.436000,HAM,44,0 days 00:01:38.334000,5,1,,,0 days 00:00:31.902000,0 days 00:00:33.194000,0 days 00:00:33.238000,0 days 01:11:41.987000,0 days 01:12:15.181000,0 days 01:12:48.419000,195,244,270,210,TRUE,INTERMEDIATE,5,FALSE,Mercedes,0 days 01:11:10.102000,12:10.1,1,12,FALSE,,FALSE,TRUE,Emilia Romagna,2022
0 days 01:14:22.075000,HAM,44,0 days 00:01:33.639000,6,1,,,0 days 00:00:30.177000,0 days 00:00:31.530000,0 days 00:00:31.932000,0 days 01:13:18.596000,0 days 01:13:50.126000,0 days 01:14:22.058000,,244,266,239,TRUE,INTERMEDIATE,6,FALSE,Mercedes,0 days 01:12:48.436000,13:48.4,1,11,FALSE,,FALSE,TRUE,Emilia Romagna,2022
0 days 01:15:54.512000,HAM,44,0 days 00:01:32.437000,7,1,,,0 days 00:00:29.360000,0 days 00:00:31.428000,0 days 00:00:31.649000,0 days 01:14:51.418000,0 days 01:15:22.846000,0 days 01:15:54.495000,200,246,266,226,TRUE,INTERMEDIATE,7,FALSE,Mercedes,0 days 01:14:22.075000,15:22.1,1,11,FALSE,,FALSE,TRUE,Emilia Romagna,2022
0 days 01:17:26.559000,HAM,44,0 days 00:01:32.047000,8,1,,,0 days 00:00:29.210000,0 days 00:00:31.339000,0 days 00:00:31.498000,0 days 01:16:23.705000,0 days 01:16:55.044000,0 days 01:17:26.542000,201,246,268,239,TRUE,INTERMEDIATE,8,FALSE,Mercedes,0 days 01:15:54.512000,16:54.5,1,11,FALSE,,FALSE,TRUE,Emilia Romagna,2022
0 days 01:18:58.239000,HAM,44,0 days 00:01:31.680000,9,1,,,0 days 00:00:28.938000,0 days 00:00:31.546000,0 days 00:00:31.196000,0 days 01:17:55.480000,0 days 01:18:27.026000,0 days 01:18:58.222000,,244,270,255,TRUE,INTERMEDIATE,9,FALSE,Mercedes,0 days 01:17:26.559000,18:26.6,1,11,FALSE,,FALSE,TRUE,Emilia Romagna,2022
0 days 01:36:40.481000,HAM,44,0 days 00:01:26.695000,20,2,,,0 days 00:00:28.098000,0 days 00:00:29.441000,0 days 00:00:29.156000,0 days 01:35:41.867000,0 days 01:36:11.308000,0 days 01:36:40.464000,203,247,273,265,TRUE,MEDIUM,2,TRUE,Mercedes,0 days 01:35:13.786000,36:13.8,1,14,FALSE,,FALSE,TRUE,Emilia Romagna,2022
0 days 01:38:05.833000,HAM,44,0 days 00:01:25.352000,21,2,,,0 days 00:00:27.481000,0 days 00:00:29.111000,0 days 00:00:28.760000,0 days 01:37:07.945000,0 days 01:37:37.056000,0 days 01:38:05.816000,206,249,273,275,TRUE,MEDIUM,3,TRUE,Mercedes,0 days 01:36:40.481000,37:40.5,1,14,FALSE,,FALSE,TRUE,Emilia Romagna,2022
0 days 01:39:30.235000,HAM,44,0 days 00:01:24.402000,22,2,,,0 days 00:00:27.123000,0 days 00:00:28.870000,0 days 00:00:28.409000,0 days 01:38:32.939000,0 days 01:39:01.809000,0 days 01:39:30.218000,210,251,275,282,TRUE,MEDIUM,4,TRUE,Mercedes,0 days 01:38:05.833000,39:05.8,1,14,FALSE,,FALSE,TRUE,Emilia Romagna,2022
0 days 01:40:54.414000,HAM,44,0 days 00:01:24.179000,23,2,,,0 days 00:00:27.154000,0 days 00:00:28.660000,0 days 00:00:28.365000,0 days 01:39:57.372000,0 days 01:40:26.032000,0 days 01:40:54.397000,,253,275,276,TRUE,MEDIUM,5,TRUE,Mercedes,0 days 01:39:30.235000,40:30.2,1,14,FALSE,,FALSE,TRUE,Emilia Romagna,2022
0 days 01:42:17.842000,HAM,44,0 days 00:01:23.428000,24,2,,,0 days 00:00:26.713000,0 days 00:00:28.535000,0 days 00:00:28.180000,0 days 01:41:21.110000,0 days 01:41:49.645000,0 days 01:42:17.825000,209,251,278,266,TRUE,MEDIUM,6,TRUE,Mercedes,0 days 01:40:54.414000,41:54.4,12,14,FALSE,,FALSE,TRUE,Emilia Romagna,2022
0 days 01:46:28.672000,HAM,44,0 days 00:01:23.213000,27,2,,,0 days 00:00:26.641000,0 days 00:00:28.636000,0 days 00:00:27.936000,0 days 01:45:32.083000,0 days 01:46:00.719000,0 days 01:46:28.655000,211,250,276,278,TRUE,MEDIUM,9,TRUE,Mercedes,0 days 01:45:05.459000,46:05.5,1,14,FALSE,,FALSE,TRUE,Emilia Romagna,2022
0 days 01:47:51.506000,HAM,44,0 days 00:01:22.834000,28,2,,,0 days 00:00:26.471000,0 days 00:00:28.482000,0 days 00:00:27.881000,0 days 01:46:55.126000,0 days 01:47:23.608000,0 days 01:47:51.489000,212,253,277,282,TRUE,MEDIUM,10,TRUE,Mercedes,0 days 01:46:28.672000,47:28.7,1,14,FALSE,,FALSE,TRUE,Emilia Romagna,2022
0 days 01:51:59.822000,HAM,44,0 days 00:01:22.540000,31,2,,,0 days 00:00:26.357000,0 days 00:00:28.484000,0 days 00:00:27.699000,0 days 01:51:03.622000,0 days 01:51:32.106000,0 days 01:51:59.805000,,250,279,281,TRUE,MEDIUM,13,TRUE,Mercedes,0 days 01:50:37.282000,51:37.3,1,14,FALSE,,FALSE,TRUE,Emilia Romagna,2022
0 days 01:53:22.109000,HAM,44,0 days 00:01:22.287000,32,2,,,0 days 00:00:26.466000,0 days 00:00:28.334000,0 days 00:00:27.487000,0 days 01:52:26.271000,0 days 01:52:54.605000,0 days 01:53:22.092000,,250,279,281,TRUE,MEDIUM,14,TRUE,Mercedes,0 days 01:51:59.822000,52:59.8,1,14,FALSE,,FALSE,TRUE,Emilia Romagna,2022
0 days 01:56:06.693000,HAM,44,0 days 00:01:21.965000,34,2,,,0 days 00:00:26.405000,0 days 00:00:28.187000,0 days 00:00:27.373000,0 days 01:55:11.116000,0 days 01:55:39.303000,0 days 01:56:06.676000,,249,282,279,TRUE,MEDIUM,16,TRUE,Mercedes,0 days 01:54:44.728000,55:44.7,1,14,FALSE,,FALSE,TRUE,Emilia Romagna,2022
0 days 01:57:28.482000,HAM,44,0 days 00:01:21.789000,35,2,,,0 days 00:00:25.920000,0 days 00:00:28.267000,0 days 00:00:27.602000,0 days 01:56:32.596000,0 days 01:57:00.863000,0 days 01:57:28.465000,214,252,285,268,TRUE,MEDIUM,17,TRUE,Mercedes,0 days 01:56:06.693000,57:06.7,1,14,FALSE,,FALSE,TRUE,Emilia Romagna,2022
